Group	Sample	Method	Read1	Read2
Normal	LUAD_NT1	PE	UNCID_2187830.e1adae95-dfa9-4279-8fc1-2f899f432360.120724_UNC11-SN627_0247_AC0Y10ACXX_5_ACAGTG.tar.gz	UNCID_2187830.e1adae95-dfa9-4279-8fc1-2f899f432360.120724_UNC11-SN627_0247_AC0Y10ACXX_5_ACAGTG.tar.gz
Normal	LUAD_NT10	PE	UNCID_2200412.d3b983d1-2665-4cdd-893e-4f120dc43346.111130_UNC10-SN254_0310_BC06BYACXX_6_ATCACG.tar.gz	UNCID_2200412.d3b983d1-2665-4cdd-893e-4f120dc43346.111130_UNC10-SN254_0310_BC06BYACXX_6_ATCACG.tar.gz
Normal	LUAD_NT11	PE	UNCID_2200465.6abcb12e-73c2-491e-b9f3-4f61f8a4e854.111130_UNC10-SN254_0310_BC06BYACXX_1_TTAGGC.tar.gz	UNCID_2200465.6abcb12e-73c2-491e-b9f3-4f61f8a4e854.111130_UNC10-SN254_0310_BC06BYACXX_1_TTAGGC.tar.gz
Normal	LUAD_NT12	PE	UNCID_2197599.6c12591a-55fa-4a7e-8eed-da9d698afb35.111122_UNC13-SN749_0136_AC050YACXX_2_TTAGGC.tar.gz	UNCID_2197599.6c12591a-55fa-4a7e-8eed-da9d698afb35.111122_UNC13-SN749_0136_AC050YACXX_2_TTAGGC.tar.gz
Normal	LUAD_NT13	PE	UNCID_2193189.aad6bc48-5020-41e4-a2d0-f994c08170a9.120417_UNC13-SN749_0166_AC0T47ACXX_8_ACTTGA.tar.gz	UNCID_2193189.aad6bc48-5020-41e4-a2d0-f994c08170a9.120417_UNC13-SN749_0166_AC0T47ACXX_8_ACTTGA.tar.gz
Normal	LUAD_NT14	PE	UNCID_2200319.98056d94-9c31-4cf7-9b0f-5ebe06be01bd.111129_UNC14-SN744_0193_BD09J3ACXX_8_TTAGGC.tar.gz	UNCID_2200319.98056d94-9c31-4cf7-9b0f-5ebe06be01bd.111129_UNC14-SN744_0193_BD09J3ACXX_8_TTAGGC.tar.gz
Normal	LUAD_NT15	PE	UNCID_2197486.cdc81d17-1d85-42e5-a3ec-f458e6ab83f6.120113_UNC14-SN744_0200_AC0F4CACXX_8_ACAGTG.tar.gz	UNCID_2197486.cdc81d17-1d85-42e5-a3ec-f458e6ab83f6.120113_UNC14-SN744_0200_AC0F4CACXX_8_ACAGTG.tar.gz
Normal	LUAD_NT16	PE	UNCID_2200282.183b2543-2665-403a-a8c0-7ae668082f2d.111208_UNC10-SN254_0313_BD087RACXX_5_TTAGGC.tar.gz	UNCID_2200282.183b2543-2665-403a-a8c0-7ae668082f2d.111208_UNC10-SN254_0313_BD087RACXX_5_TTAGGC.tar.gz
Normal	LUAD_NT17	PE	UNCID_2199886.f3bb69da-304f-462d-b020-f479a866381e.111206_UNC15-SN850_0154_BD080PACXX_2_CAGATC.tar.gz	UNCID_2199886.f3bb69da-304f-462d-b020-f479a866381e.111206_UNC15-SN850_0154_BD080PACXX_2_CAGATC.tar.gz
Normal	LUAD_NT18	PE	UNCID_2199338.2b7e9552-e34f-4c68-96af-1c01a605df60.111229_UNC15-SN850_0157_AD0MHHACXX_7_TGACCA.tar.gz	UNCID_2199338.2b7e9552-e34f-4c68-96af-1c01a605df60.111229_UNC15-SN850_0157_AD0MHHACXX_7_TGACCA.tar.gz
Normal	LUAD_NT19	PE	UNCID_2200622.c019f320-2e0e-4f00-a393-2e5717d64cc0.111118_UNC11-SN627_0168_BC059VACXX_4_TTAGGC.tar.gz	UNCID_2200622.c019f320-2e0e-4f00-a393-2e5717d64cc0.111118_UNC11-SN627_0168_BC059VACXX_4_TTAGGC.tar.gz
Normal	LUAD_NT2	PE	UNCID_2188941.e218db14-8225-450d-92b1-865d46ab59bf.120625_UNC14-SN744_0243_AD12W2ACXX_3_ACTTGA.tar.gz	UNCID_2188941.e218db14-8225-450d-92b1-865d46ab59bf.120625_UNC14-SN744_0243_AD12W2ACXX_3_ACTTGA.tar.gz
Normal	LUAD_NT20	PE	UNCID_2193389.f879b84d-a2e7-4189-bcf6-9286b52e19dd.120417_UNC13-SN749_0167_BC0T49ACXX_2_ACTTGA.tar.gz	UNCID_2193389.f879b84d-a2e7-4189-bcf6-9286b52e19dd.120417_UNC13-SN749_0167_BC0T49ACXX_2_ACTTGA.tar.gz
Normal	LUAD_NT21	PE	UNCID_2198748.0ab304f8-0976-4637-8955-199e1782ab16.120104_UNC16-SN851_0120_BD0J72ACXX_3_TAGCTT.tar.gz	UNCID_2198748.0ab304f8-0976-4637-8955-199e1782ab16.120104_UNC16-SN851_0120_BD0J72ACXX_3_TAGCTT.tar.gz
Normal	LUAD_NT22	PE	UNCID_2198729.b3b1d4f3-1511-40a5-bf62-0ddf0893eac5.120104_UNC16-SN851_0120_BD0J72ACXX_4_TGACCA.tar.gz	UNCID_2198729.b3b1d4f3-1511-40a5-bf62-0ddf0893eac5.120104_UNC16-SN851_0120_BD0J72ACXX_4_TGACCA.tar.gz
Normal	LUAD_NT23	PE	UNCID_2199316.97a84c2b-7832-479c-8d01-a9ff610e7bf4.111229_UNC15-SN850_0157_AD0MHHACXX_8_GGCTAC.tar.gz	UNCID_2199316.97a84c2b-7832-479c-8d01-a9ff610e7bf4.111229_UNC15-SN850_0157_AD0MHHACXX_8_GGCTAC.tar.gz
Normal	LUAD_NT24	PE	UNCID_2198722.3d563365-c563-4fba-b67b-8aad1af89eab.120104_UNC16-SN851_0120_BD0J72ACXX_5_GGCTAC.tar.gz	UNCID_2198722.3d563365-c563-4fba-b67b-8aad1af89eab.120104_UNC16-SN851_0120_BD0J72ACXX_5_GGCTAC.tar.gz
Normal	LUAD_NT25	PE	UNCID_2200264.a89e4f9e-0dfe-449d-a215-6c770cc5ea55.111129_UNC14-SN744_0191_AC04WGACXX_6_ATCACG.tar.gz	UNCID_2200264.a89e4f9e-0dfe-449d-a215-6c770cc5ea55.111129_UNC14-SN744_0191_AC04WGACXX_6_ATCACG.tar.gz
Normal	LUAD_NT26	PE	UNCID_2200193.3b3948f2-e93e-4d89-8611-3cde3b962193.111208_UNC10-SN254_0312_AD0JRVACXX_1_GGCTAC.tar.gz	UNCID_2200193.3b3948f2-e93e-4d89-8611-3cde3b962193.111208_UNC10-SN254_0312_AD0JRVACXX_1_GGCTAC.tar.gz
Normal	LUAD_NT27	PE	UNCID_2200390.d0e9dd65-ec79-4eee-802a-3f5438168136.111129_UNC14-SN744_0193_BD09J3ACXX_2_ATCACG.tar.gz	UNCID_2200390.d0e9dd65-ec79-4eee-802a-3f5438168136.111129_UNC14-SN744_0193_BD09J3ACXX_2_ATCACG.tar.gz
